index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-11.82286,-62.93883,367.0,0.43,0.38,2017-10-05,1734,N,VIIRS,h,1,379.7,883.6,0.0,,,,2017,10,5,17,34,2017-10-05 17:34:00,Oct,POINT (-62.93883 -11.82286)
1,-11.89293,-62.89333000000001,305.8,0.48,0.4,2017-09-06,543,N,VIIRS,n,1,292.3,0.8,0.0,,,,2017,9,6,5,43,2017-09-06 05:43:00,Sep,POINT (-62.89333000000001 -11.89293)
2,-11.89357,-62.88887,302.9,0.48,0.4,2017-09-06,543,N,VIIRS,n,1,292.3,0.5,0.0,,,,2017,9,6,5,43,2017-09-06 05:43:00,Sep,POINT (-62.88887 -11.89357)
3,-11.86047,-62.97945,343.3,0.49,0.4,2017-09-07,1759,N,VIIRS,n,1,307.9,5.3,0.0,,,,2017,9,7,17,59,2017-09-07 17:59:00,Sep,POINT (-62.97945 -11.86047)
4,-11.864239999999999,-62.86224,335.2,0.5,0.41,2017-09-07,1759,N,VIIRS,n,1,307.2,2.6,0.0,,,,2017,9,7,17,59,2017-09-07 17:59:00,Sep,POINT (-62.86224 -11.86424)
5,-11.8646,-62.882369999999995,339.0,0.49,0.41,2017-09-07,1759,N,VIIRS,n,1,312.5,6.7,0.0,,,,2017,9,7,17,59,2017-09-07 17:59:00,Sep,POINT (-62.88236999999999 -11.8646)
6,-11.86523,-62.86346999999999,334.1,0.5,0.41,2017-09-07,1759,N,VIIRS,n,1,307.8,1.5,0.0,,,,2017,9,7,17,59,2017-09-07 17:59:00,Sep,POINT (-62.86346999999999 -11.86523)
7,-11.86425,-62.88575,337.6,0.5,0.41,2017-09-07,1759,N,VIIRS,l,1,309.7,7.1,0.0,,,,2017,9,7,17,59,2017-09-07 17:59:00,Sep,POINT (-62.88575 -11.86425)
8,-11.88235,-62.88059000000001,308.9,0.43,0.46,2017-09-08,506,N,VIIRS,n,1,292.4,1.2,0.0,,,,2017,9,8,5,6,2017-09-08 05:06:00,Sep,POINT (-62.88059000000001 -11.88235)
9,-11.88162,-62.88459,313.4,0.43,0.46,2017-09-08,506,N,VIIRS,n,1,292.0,1.8,0.0,,,,2017,9,8,5,6,2017-09-08 05:06:00,Sep,POINT (-62.88459 -11.88162)
