index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-13.3554,-54.2969,,1.5,1.2,2017-09-17,158,Terra,MODIS,100,6.2,,2822.4,0.0,N,500.0,314.2,2017,9,17,1,58,2017-09-17 01:58:00,Sep,POINT (-54.2969 -13.3554)
1,-13.3015,-54.3662,,2.2,1.4,2017-08-19,1746,Aqua,MODIS,50,6.2,,33.5,0.0,D,321.4,296.8,2017,8,19,17,46,2017-08-19 17:46:00,Aug,POINT (-54.3662 -13.3015)
2,-13.2977,-54.3635,,1.0,1.0,2017-08-21,217,Terra,MODIS,36,6.2,,5.5,0.0,N,301.9,284.7,2017,8,21,2,17,2017-08-21 02:17:00,Aug,POINT (-54.3635 -13.2977)
3,-13.2971,-54.3629,,1.2,1.1,2017-08-23,204,Terra,MODIS,64,6.2,,7.3,0.0,N,305.4,294.1,2017,8,23,2,4,2017-08-23 02:04:00,Aug,POINT (-54.3629 -13.2971)
4,-13.2961,-54.358000000000004,,1.0,1.0,2017-08-23,507,Aqua,MODIS,66,6.2,,6.6,0.0,N,306.0,294.0,2017,8,23,5,7,2017-08-23 05:07:00,Aug,POINT (-54.358 -13.2961)
5,-13.3046,-54.3572,,1.0,1.0,2017-08-23,1721,Aqua,MODIS,91,6.2,,44.1,0.0,D,345.8,305.5,2017,8,23,17,21,2017-08-23 17:21:00,Aug,POINT (-54.3572 -13.3046)
6,-13.2943,-54.3493,,1.0,1.0,2017-08-23,1721,Aqua,MODIS,52,6.2,,19.1,0.0,D,331.8,306.3,2017,8,23,17,21,2017-08-23 17:21:00,Aug,POINT (-54.3493 -13.2943)
7,-13.2956,-54.3585,,1.0,1.0,2017-08-23,1721,Aqua,MODIS,50,6.2,,19.3,0.0,D,331.1,306.2,2017,8,23,17,21,2017-08-23 17:21:00,Aug,POINT (-54.3585 -13.2956)
8,-13.3076,-54.3463,,1.2,1.1,2017-08-25,1709,Aqua,MODIS,32,6.2,,15.8,0.0,D,324.4,301.9,2017,8,25,17,9,2017-08-25 17:09:00,Aug,POINT (-54.3463 -13.3076)
9,-13.3244,-54.3499,,1.5,1.2,2017-09-01,158,Terra,MODIS,95,6.2,,26.2,0.0,N,317.7,297.0,2017,9,1,1,58,2017-09-01 01:58:00,Sep,POINT (-54.3499 -13.3244)
10,-13.3217,-54.356,,1.5,1.2,2017-09-01,158,Terra,MODIS,80,6.2,,15.9,0.0,N,310.4,295.1,2017,9,1,1,58,2017-09-01 01:58:00,Sep,POINT (-54.356 -13.3217)
