index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-8.098230000000001,-55.48695,367.0,0.49,0.41,2019-09-11,1654,N,VIIRS,h,1.0NRT,363.8,677.5,,D,,,2019,9,11,16,54,2019-09-11 16:54:00,Sep,POINT (-55.48695 -8.098230000000001)
1,-8.12365,-55.5499,354.5,0.57,0.69,2019-08-12,1800,N,VIIRS,n,1.0NRT,301.2,6.9,,D,,,2019,8,12,18,0,2019-08-12 18:00:00,Aug,POINT (-55.5499 -8.12365)
2,-8.11708,-55.551790000000004,311.4,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,291.2,0.8,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55179 -8.11708)
3,-8.11763,-55.54828000000001,311.3,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,290.5,0.8,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.54828000000001 -8.11763)
4,-8.12096,-55.548809999999996,316.4,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,291.6,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.54881 -8.12096)
5,-8.12374,-55.55285,308.8,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,292.8,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55285 -8.12374)
6,-8.11042,-55.55074000000001,302.5,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,291.5,0.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55074 -8.11042)
7,-8.109869999999999,-55.55426,310.2,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,292.6,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55426 -8.109869999999999)
8,-8.10932,-55.55777,321.2,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,292.0,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55777 -8.10932)
9,-8.106539999999999,-55.55373,305.4,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,291.5,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55373 -8.106539999999999)
10,-8.10599,-55.55724,320.0,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,292.9,1.3,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55724 -8.10599)
11,-8.10266,-55.55672,308.8,0.39,0.36,2019-08-13,500,N,VIIRS,n,1.0NRT,291.0,0.9,,N,,,2019,8,13,5,0,2019-08-13 05:00:00,Aug,POINT (-55.55672 -8.10266)
12,-8.10915,-55.50786,337.2,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,296.7,5.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50786 -8.10915)
13,-8.11003,-55.51285,333.8,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,295.9,5.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51285 -8.11003)
14,-8.10445,-55.5087,348.2,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,296.3,5.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.5087 -8.10445)
15,-8.10533,-55.513690000000004,339.3,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,296.0,5.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51369 -8.10533)
16,-8.09975,-55.50956,350.9,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,297.9,130.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50956 -8.09975)
17,-8.10063,-55.514540000000004,353.2,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,303.7,130.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51454 -8.100630000000001)
18,-8.09505,-55.51041,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,328.1,130.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51041 -8.095050000000001)
19,-8.095930000000001,-55.515390000000004,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,336.1,130.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51539 -8.095930000000001)
20,-8.108410000000001,-55.51116999999999,351.9,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,295.3,26.2,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51116999999999 -8.108410000000001)
21,-8.09816,-55.50789,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,304.3,164.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50789 -8.09816)
22,-8.09901,-55.51289000000001,356.5,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,306.5,164.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51289000000001 -8.09901)
23,-8.09345,-55.50872,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,325.8,164.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50872 -8.093450000000001)
24,-8.0943,-55.51374000000001,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,337.9,164.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51374000000001 -8.0943)
25,-8.08874,-55.50954,208.0,0.55,0.51,2019-08-13,1736,N,VIIRS,l,1.0NRT,320.0,358.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50954 -8.08874)
26,-8.0896,-55.51459000000001,208.0,0.55,0.51,2019-08-13,1736,N,VIIRS,l,1.0NRT,323.0,358.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51459000000001 -8.089600000000001)
27,-8.07846,-55.506159999999994,355.6,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,282.4,33.1,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.50615999999999 -8.07846)
28,-8.12095,-55.547290000000004,349.7,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,296.7,12.7,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54729 -8.120950000000001)
29,-8.11625,-55.54808000000001,349.6,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,301.8,47.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54808000000001 -8.116250000000001)
30,-8.11245,-55.553940000000004,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,296.2,47.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.55394 -8.112450000000001)
31,-8.110669999999999,-55.54383000000001,330.5,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,294.2,26.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54383000000001 -8.110669999999999)
32,-8.11156,-55.54889,351.3,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,302.4,47.4,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54889 -8.111560000000001)
33,-8.119060000000001,-55.54565,344.8,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,297.4,24.0,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54565 -8.119060000000001)
34,-8.114360000000001,-55.546440000000004,346.6,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,299.7,62.5,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.54644 -8.114360000000001)
35,-8.06437,-55.56511999999999,347.1,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,287.0,78.7,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.56511999999999 -8.06437)
36,-8.069930000000001,-55.569340000000004,340.9,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,287.9,78.7,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.56934 -8.069930000000001)
37,-8.06908,-55.56437,356.3,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,292.7,78.7,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.56437 -8.06908)
38,-8.07463,-55.56854000000001,345.8,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,286.5,68.0,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.56854000000001 -8.074630000000001)
39,-8.073780000000001,-55.5636,342.5,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,304.4,68.0,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.5636 -8.073780000000001)
40,-8.0866,-55.52541,253.3,0.55,0.51,2019-08-13,1736,N,VIIRS,l,1.0NRT,302.5,307.8,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.52541 -8.086600000000001)
41,-8.08575,-55.52044,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,l,1.0NRT,274.9,307.8,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.52044 -8.085750000000001)
42,-8.09045,-55.51958000000001,208.0,0.55,0.51,2019-08-13,1736,N,VIIRS,l,1.0NRT,324.6,307.8,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.51958 -8.090450000000001)
43,-8.093010000000001,-55.53461,344.1,0.55,0.51,2019-08-13,1736,N,VIIRS,n,1.0NRT,300.4,599.6,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.53461 -8.093010000000001)
44,-8.0913,-55.52456,367.0,0.55,0.51,2019-08-13,1736,N,VIIRS,h,1.0NRT,346.5,307.8,,D,,,2019,8,13,17,36,2019-08-13 17:36:00,Aug,POINT (-55.52456 -8.0913)
