index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-19.1705,-39.8148,,3.6,1.8,2016-08-27,1547,Aqua,MODIS,82,6.2,,1980.6,0.0,D,409.9,305.9,2016,8,27,15,47,2016-08-27 15:47:00,Aug,POINT (-39.8148 -19.1705)
1,-19.1363,-39.7628,,3.6,1.8,2016-08-25,43,Terra,MODIS,100,6.2,,132.9,0.0,N,320.6,287.2,2016,8,25,0,43,2016-08-25 00:43:00,Aug,POINT (-39.7628 -19.1363)
2,-19.1437,-39.7688,,3.6,1.8,2016-08-25,43,Terra,MODIS,100,6.2,,150.8,0.0,N,323.9,288.3,2016,8,25,0,43,2016-08-25 00:43:00,Aug,POINT (-39.7688 -19.1437)
3,-19.1523,-39.7612,,3.6,1.8,2016-08-25,43,Terra,MODIS,100,6.2,,129.3,0.0,N,320.0,288.5,2016,8,25,0,43,2016-08-25 00:43:00,Aug,POINT (-39.7612 -19.1523)
4,-19.1545,-39.7517,,1.3,1.1,2016-08-25,348,Aqua,MODIS,71,6.2,,16.6,0.0,N,309.8,289.0,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7517 -19.1545)
5,-19.1342,-39.7551,,1.3,1.1,2016-08-25,348,Aqua,MODIS,100,6.2,,73.6,0.0,N,342.7,292.3,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7551 -19.1342)
6,-19.1422,-39.7622,,1.3,1.1,2016-08-25,348,Aqua,MODIS,100,6.2,,68.0,0.0,N,341.2,295.3,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7622 -19.1422)
7,-19.1524,-39.764,,1.3,1.1,2016-08-25,348,Aqua,MODIS,10,6.2,,8.7,0.0,N,300.9,285.8,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.764 -19.1524)
8,-19.1464,-39.7376,,1.3,1.1,2016-08-25,348,Aqua,MODIS,46,6.2,,22.8,0.0,N,317.2,289.0,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7376 -19.1464)
9,-19.1423,-39.7693,,1.3,1.1,2016-08-25,348,Aqua,MODIS,22,6.2,,14.9,0.0,N,309.2,287.5,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7693 -19.1423)
10,-19.1443,-39.7499,,1.3,1.1,2016-08-25,348,Aqua,MODIS,100,6.2,,68.3,0.0,N,341.6,297.6,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7499 -19.1443)
11,-19.1443,-39.757,,1.3,1.1,2016-08-25,348,Aqua,MODIS,100,6.2,,97.3,0.0,N,351.2,298.7,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.757 -19.1443)
12,-19.1463,-39.7447,,1.3,1.1,2016-08-25,348,Aqua,MODIS,100,6.2,,64.2,0.0,N,340.2,293.5,2016,8,25,3,48,2016-08-25 03:48:00,Aug,POINT (-39.7447 -19.1463)
13,-19.1455,-39.7595,,1.5,1.2,2016-08-25,1314,Terra,MODIS,98,6.2,,121.6,0.0,D,357.1,311.4,2016,8,25,13,14,2016-08-25 13:14:00,Aug,POINT (-39.7595 -19.1455)
14,-19.1472,-39.7456,,1.5,1.2,2016-08-25,1314,Terra,MODIS,83,6.2,,42.6,0.0,D,333.8,304.2,2016,8,25,13,14,2016-08-25 13:14:00,Aug,POINT (-39.7456 -19.1472)
15,-19.1562,-39.7609,,1.5,1.2,2016-08-25,1314,Terra,MODIS,92,6.2,,70.2,0.0,D,343.1,302.6,2016,8,25,13,14,2016-08-25 13:14:00,Aug,POINT (-39.7609 -19.1562)
16,-19.1347,-39.758,,1.5,1.2,2016-08-25,1314,Terra,MODIS,81,6.2,,41.4,0.0,D,332.6,303.5,2016,8,25,13,14,2016-08-25 13:14:00,Aug,POINT (-39.758 -19.1347)
17,-19.1528,-39.7832,,2.1,1.4,2016-08-25,1600,Aqua,MODIS,95,6.2,,154.2,0.0,D,348.7,303.4,2016,8,25,16,0,2016-08-25 16:00:00,Aug,POINT (-39.7832 -19.1528)
18,-19.1379,-39.7649,,2.1,1.4,2016-08-25,1600,Aqua,MODIS,89,6.2,,98.2,0.0,D,337.8,302.2,2016,8,25,16,0,2016-08-25 16:00:00,Aug,POINT (-39.7649 -19.1379)
19,-19.1505,-39.7633,,2.1,1.4,2016-08-25,1600,Aqua,MODIS,96,6.2,,175.9,0.0,D,352.4,307.9,2016,8,25,16,0,2016-08-25 16:00:00,Aug,POINT (-39.7633 -19.1505)
20,-19.1632,-39.7618,,2.1,1.4,2016-08-25,1600,Aqua,MODIS,71,6.2,,34.6,0.0,D,321.9,300.3,2016,8,25,16,0,2016-08-25 16:00:00,Aug,POINT (-39.7618 -19.1632)
21,-19.1494,-39.7773,,1.0,1.0,2016-08-26,126,Terra,MODIS,61,6.2,,10.0,0.0,N,305.7,285.3,2016,8,26,1,26,2016-08-26 01:26:00,Aug,POINT (-39.7773 -19.1494)
22,-19.1417,-39.7887,,1.0,1.0,2016-08-26,126,Terra,MODIS,72,6.2,,11.1,0.0,N,308.1,284.6,2016,8,26,1,26,2016-08-26 01:26:00,Aug,POINT (-39.7887 -19.1417)
23,-19.1402,-39.7789,,1.0,1.0,2016-08-26,126,Terra,MODIS,96,6.2,,19.9,0.0,N,318.2,287.9,2016,8,26,1,26,2016-08-26 01:26:00,Aug,POINT (-39.7789 -19.1402)
24,-19.1594,-39.7806,,3.6,1.8,2016-08-26,1219,Terra,MODIS,97,6.2,,407.3,0.0,D,354.3,298.0,2016,8,26,12,19,2016-08-26 12:19:00,Aug,POINT (-39.7806 -19.1594)
25,-19.1436,-39.777,,3.6,1.8,2016-08-26,1219,Terra,MODIS,74,6.2,,83.4,0.0,D,321.9,299.8,2016,8,26,12,19,2016-08-26 12:19:00,Aug,POINT (-39.777 -19.1436)
