index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-5.7707,-45.8563,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,100,6.2,,2102.5,0.0,D,406.9,308.1,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8563 -5.7707)
1,-5.7541,-45.8588,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,53,6.2,,44.6,0.0,D,317.0,300.0,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8588 -5.7541)
2,-5.7662,-45.82100000000001,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,98,6.2,,511.6,0.0,D,357.7,302.7,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.82100000000001 -5.7662)
3,-5.7707,-45.8563,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,100,6.2,,2102.5,0.0,D,406.9,308.1,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8563 -5.7707)
4,-5.7609,-45.8255,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,95,6.2,,392.9,0.0,D,350.4,302.2,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8255 -5.7609)
5,-5.7655,-45.8607,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,100,6.2,,1381.1,0.0,D,389.8,305.7,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8607 -5.7655)
6,-5.7774,-45.8236,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,95,6.2,,396.8,0.0,D,350.7,302.3,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8236 -5.7774)
7,-5.7821,-45.8584,,3.9,1.8,2016-07-24,1604,Aqua,MODIS,98,6.2,,497.5,0.0,D,356.3,303.3,2016,7,24,16,4,2016-07-24 16:04:00,Jul,POINT (-45.8584 -5.7821)
8,-5.7572,-45.8529,,1.1,1.0,2016-07-25,428,Aqua,MODIS,13,6.2,,5.3,0.0,N,301.2,290.5,2016,7,25,4,28,2016-07-25 04:28:00,Jul,POINT (-45.8529 -5.7572)
9,-5.7622,-45.8642,,2.1,1.4,2016-07-25,1354,Terra,MODIS,47,6.2,,49.3,0.0,D,330.1,304.0,2016,7,25,13,54,2016-07-25 13:54:00,Jul,POINT (-45.8642 -5.7622)
10,-5.7649,-45.8456,,2.1,1.4,2016-07-25,1354,Terra,MODIS,22,6.2,,45.6,0.0,D,328.7,306.8,2016,7,25,13,54,2016-07-25 13:54:00,Jul,POINT (-45.8456 -5.7649)
