index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-13.1912,-43.8128,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,100,6.2,,3237.5,0.0,D,500.4,400.1,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8128 -13.1912)
1,-13.2137,-43.7659,,1.7,1.3,2015-09-20,1337,Terra,MODIS,64,6.2,,23.6,0.0,D,326.4,307.6,2015,9,20,13,37,2015-09-20 13:37:00,Sep,POINT (-43.7659 -13.2137)
2,-13.1999,-43.808,,1.1,1.0,2015-10-09,139,Terra,MODIS,80,6.2,,9.8,0.0,N,310.4,295.5,2015,10,9,1,39,2015-10-09 01:39:00,Oct,POINT (-43.808 -13.1999)
3,-13.1984,-43.7982,,1.1,1.0,2015-10-09,139,Terra,MODIS,96,6.2,,16.8,0.0,N,318.2,296.0,2015,10,9,1,39,2015-10-09 01:39:00,Oct,POINT (-43.7982 -13.1984)
4,-13.2048,-43.8257,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,88,6.2,,65.5,0.0,D,344.6,313.5,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8257 -13.2048)
5,-13.18,-43.8148,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,56,6.2,,37.0,0.0,D,335.9,302.9,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8148 -13.18)
6,-13.2,-43.79600000000001,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,96,6.2,,99.4,0.0,D,354.1,320.6,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.79600000000001 -13.2)
7,-13.2024,-43.8108,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,100,6.2,,397.9,0.0,D,393.7,325.9,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8108 -13.2024)
8,-13.1888,-43.798,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,100,6.2,,214.7,0.0,D,373.1,317.5,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.798 -13.1888)
9,-13.1936,-43.8276,,1.6,1.3,2015-10-09,1657,Aqua,MODIS,100,6.2,,1251.1,0.0,D,444.0,329.8,2015,10,9,16,57,2015-10-09 16:57:00,Oct,POINT (-43.8276 -13.1936)
