index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-9.58796,-44.81704000000001,367.0,0.45,0.39,2016-07-18,1619,N,VIIRS,h,1,366.8,632.6,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81704000000001 -9.587960000000001)
1,-9.58731,-44.81425,337.2,0.77,0.78,2016-07-15,1535,N,VIIRS,n,1,301.3,8.7,0.0,,,,2016,7,15,15,35,2016-07-15 15:35:00,Jul,POINT (-44.81425 -9.58731)
2,-9.58346,-44.814009999999996,349.1,0.39,0.36,2016-07-16,421,N,VIIRS,n,1,291.4,6.4,0.0,,,,2016,7,16,4,21,2016-07-16 04:21:00,Jul,POINT (-44.81401 -9.583460000000001)
3,-9.584010000000001,-44.81049,301.6,0.39,0.36,2016-07-16,421,N,VIIRS,n,1,289.1,0.7,0.0,,,,2016,7,16,4,21,2016-07-16 04:21:00,Jul,POINT (-44.81049 -9.584010000000001)
4,-9.58734,-44.81103,307.8,0.39,0.36,2016-07-16,421,N,VIIRS,n,1,289.6,0.7,0.0,,,,2016,7,16,4,21,2016-07-16 04:21:00,Jul,POINT (-44.81103 -9.587339999999999)
5,-9.58788,-44.8075,304.7,0.39,0.36,2016-07-16,421,N,VIIRS,n,1,289.7,0.7,0.0,,,,2016,7,16,4,21,2016-07-16 04:21:00,Jul,POINT (-44.8075 -9.58788)
6,-9.58981,-44.808609999999994,354.0,0.41,0.37,2016-07-17,1638,N,VIIRS,l,1,327.8,44.0,0.0,,,,2016,7,17,16,38,2016-07-17 16:38:00,Jul,POINT (-44.80860999999999 -9.58981)
7,-9.58739,-44.8147,306.2,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,289.5,1.3,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.8147 -9.587389999999999)
8,-9.59332,-44.812129999999996,300.1,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,289.5,0.8,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.81213 -9.59332)
9,-9.58799,-44.81152,303.3,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,289.5,1.0,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.81152 -9.58799)
10,-9.58752,-44.81435,306.8,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,289.8,1.6,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.81435 -9.58752)
11,-9.58809,-44.811170000000004,303.2,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,289.6,0.8,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.81117 -9.588089999999999)
12,-9.59322,-44.81247000000001,300.9,0.35,0.57,2016-07-18,343,N,VIIRS,n,1,288.9,1.0,0.0,,,,2016,7,18,3,43,2016-07-18 03:43:00,Jul,POINT (-44.81247 -9.593220000000001)
13,-9.58728,-44.82067,367.0,0.45,0.39,2016-07-18,1619,N,VIIRS,h,1,330.0,163.5,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.82067 -9.58728)
14,-9.58668,-44.81657,367.0,0.45,0.39,2016-07-18,1619,N,VIIRS,h,1,351.8,163.5,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81657 -9.586679999999999)
15,-9.59155,-44.816520000000004,356.3,0.45,0.39,2016-07-18,1619,N,VIIRS,n,1,318.4,25.8,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81652 -9.59155)
16,-9.58796,-44.81704000000001,367.0,0.45,0.39,2016-07-18,1619,N,VIIRS,h,1,366.8,632.6,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81704000000001 -9.587960000000001)
17,-9.58738,-44.81293,346.0,0.45,0.39,2016-07-18,1619,N,VIIRS,n,1,320.1,39.2,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81293 -9.58738)
18,-9.590860000000001,-44.82015,333.8,0.45,0.39,2016-07-18,1619,N,VIIRS,n,1,308.5,163.5,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.82015 -9.590860000000001)
19,-9.59026,-44.81604,367.0,0.45,0.39,2016-07-18,1619,N,VIIRS,l,1,341.4,163.5,0.0,,,,2016,7,18,16,19,2016-07-18 16:19:00,Jul,POINT (-44.81604 -9.590260000000001)
20,-9.62217,-44.82397,339.9,0.4,0.37,2016-07-23,1625,N,VIIRS,n,1,303.1,4.1,0.0,,,,2016,7,23,16,25,2016-07-23 16:25:00,Jul,POINT (-44.82397 -9.622170000000001)
