index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-9.6053,-44.8893,,2.1,1.4,2018-09-30,1615,Aqua,MODIS,100,6.2,,2030.7,0.0,D,447.7,318.2,2018,9,30,16,15,2018-09-30 16:15:00,Sep,POINT (-44.8893 -9.6053)
1,-9.5723,-44.8769,,1.1,1.0,2018-09-03,1634,Aqua,MODIS,93,6.2,,51.2,0.0,D,349.2,308.2,2018,9,3,16,34,2018-09-03 16:34:00,Sep,POINT (-44.8769 -9.5723)
2,-9.5697,-44.8576,,1.1,1.0,2018-09-03,1634,Aqua,MODIS,99,6.2,,73.4,0.0,D,358.3,312.5,2018,9,3,16,34,2018-09-03 16:34:00,Sep,POINT (-44.8576 -9.569699999999999)
3,-9.571,-44.8672,,1.1,1.0,2018-09-03,1634,Aqua,MODIS,100,6.2,,81.5,0.0,D,360.9,310.6,2018,9,3,16,34,2018-09-03 16:34:00,Sep,POINT (-44.8672 -9.571)
4,-9.5713,-44.8787,,2.1,1.4,2018-09-04,200,Terra,MODIS,62,6.2,,16.7,0.0,N,304.9,292.1,2018,9,4,2,0,2018-09-04 02:00:00,Sep,POINT (-44.8787 -9.571300000000001)
5,-9.5758,-44.8735,,3.4,1.7,2018-09-04,1248,Terra,MODIS,67,6.2,,63.9,0.0,D,322.8,297.8,2018,9,4,12,48,2018-09-04 12:48:00,Sep,POINT (-44.8735 -9.575799999999999)
6,-9.5657,-44.8664,,3.4,1.7,2018-09-04,1248,Terra,MODIS,55,6.2,,44.7,0.0,D,319.8,298.2,2018,9,4,12,48,2018-09-04 12:48:00,Sep,POINT (-44.8664 -9.5657)
7,-9.5775,-44.8536,,2.7,1.6,2018-09-05,105,Terra,MODIS,7,6.2,,23.3,0.0,N,301.5,291.2,2018,9,5,1,5,2018-09-05 01:05:00,Sep,POINT (-44.8536 -9.577500000000001)
8,-9.6108,-44.8404,,1.0,1.0,2018-09-07,1319,Terra,MODIS,81,6.2,,19.7,0.0,D,332.6,305.6,2018,9,7,13,19,2018-09-07 13:19:00,Sep,POINT (-44.8404 -9.610799999999999)
9,-9.5902,-44.87300000000001,,2.8,1.6,2018-09-07,1609,Aqua,MODIS,37,6.2,,31.4,0.0,D,318.4,291.8,2018,9,7,16,9,2018-09-07 16:09:00,Sep,POINT (-44.873 -9.590199999999999)
10,-9.5884,-44.8804,,1.0,1.0,2018-09-08,135,Terra,MODIS,35,6.2,,3.7,0.0,N,301.8,291.7,2018,9,8,1,35,2018-09-08 01:35:00,Sep,POINT (-44.8804 -9.5884)
11,-9.6621,-44.9151,,1.2,1.1,2018-09-08,1652,Aqua,MODIS,39,6.2,,15.2,0.0,D,329.7,312.6,2018,9,8,16,52,2018-09-08 16:52:00,Sep,POINT (-44.9151 -9.662100000000001)
