index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-9.649,-43.7808,,2.3,1.5,2018-09-23,1609,Aqua,MODIS,100,6.2,,2388.9,0.0,D,450.2,315.2,2018,9,23,16,9,2018-09-23 16:09:00,Sep,POINT (-43.7808 -9.648999999999999)
1,-9.6899,-43.7458,,1.0,1.0,2018-08-25,1640,Aqua,MODIS,100,6.2,,201.7,0.0,D,391.8,314.8,2018,8,25,16,40,2018-08-25 16:40:00,Aug,POINT (-43.7458 -9.6899)
2,-9.7004,-43.7538,,1.0,1.0,2018-08-25,1640,Aqua,MODIS,96,6.2,,58.6,0.0,D,354.2,312.4,2018,8,25,16,40,2018-08-25 16:40:00,Aug,POINT (-43.7538 -9.7004)
3,-9.699,-43.7444,,1.0,1.0,2018-08-25,1640,Aqua,MODIS,95,6.2,,54.6,0.0,D,352.7,315.2,2018,8,25,16,40,2018-08-25 16:40:00,Aug,POINT (-43.7444 -9.699)
4,-9.6913,-43.7551,,1.0,1.0,2018-08-25,1640,Aqua,MODIS,97,6.2,,62.2,0.0,D,355.2,311.3,2018,8,25,16,40,2018-08-25 16:40:00,Aug,POINT (-43.7551 -9.6913)
5,-9.6794,-43.7707,,2.1,1.4,2018-08-26,1255,Terra,MODIS,61,6.2,,27.4,0.0,D,318.7,301.4,2018,8,26,12,55,2018-08-26 12:55:00,Aug,POINT (-43.7707 -9.679399999999999)
6,-9.6936,-43.7439,,1.1,1.0,2018-08-27,1628,Aqua,MODIS,8,6.2,,9.0,0.0,D,325.4,310.8,2018,8,27,16,28,2018-08-27 16:28:00,Aug,POINT (-43.7439 -9.6936)
7,-9.6855,-43.7553,,1.1,1.0,2018-08-27,1628,Aqua,MODIS,17,6.2,,12.1,0.0,D,327.2,311.2,2018,8,27,16,28,2018-08-27 16:28:00,Aug,POINT (-43.7553 -9.685499999999999)
8,-9.714,-43.7484,,1.0,1.0,2018-09-10,1640,Aqua,MODIS,70,6.2,,16.4,0.0,D,332.4,311.7,2018,9,10,16,40,2018-09-10 16:40:00,Sep,POINT (-43.7484 -9.714)
9,-9.7163,-43.7332,,1.7,1.3,2018-09-14,1615,Aqua,MODIS,78,6.2,,41.8,0.0,D,333.1,310.7,2018,9,14,16,15,2018-09-14 16:15:00,Sep,POINT (-43.7332 -9.7163)
10,-9.7183,-43.748999999999995,,1.7,1.3,2018-09-14,1615,Aqua,MODIS,86,6.2,,69.8,0.0,D,340.8,311.6,2018,9,14,16,15,2018-09-14 16:15:00,Sep,POINT (-43.749 -9.718299999999999)
