index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-9.4998,-43.4242,,4.6,2.0,2015-09-12,1716,Aqua,MODIS,100,6.2,,2626.8,0.0,D,408.1,314.0,2015,9,12,17,16,2015-09-12 17:16:00,Sep,POINT (-43.4242 -9.4998)
1,-9.429,-43.4056,,2.0,1.4,2015-08-22,1658,Aqua,MODIS,22,6.2,,33.2,0.0,D,324.6,301.6,2015,8,22,16,58,2015-08-22 16:58:00,Aug,POINT (-43.4056 -9.429)
2,-9.5816,-43.4345,,1.1,1.0,2015-09-04,1627,Aqua,MODIS,91,6.2,,44.0,0.0,D,348.1,312.2,2015,9,4,16,27,2015-09-04 16:27:00,Sep,POINT (-43.4345 -9.5816)
3,-9.5803,-43.4247,,1.1,1.0,2015-09-04,1627,Aqua,MODIS,84,6.2,,28.6,0.0,D,340.7,314.2,2015,9,4,16,27,2015-09-04 16:27:00,Sep,POINT (-43.4247 -9.580299999999999)
4,-9.5896,-43.4234,,1.1,1.0,2015-09-04,1627,Aqua,MODIS,100,6.2,,138.7,0.0,D,377.1,317.2,2015,9,4,16,27,2015-09-04 16:27:00,Sep,POINT (-43.4234 -9.589600000000001)
5,-9.5891,-43.424,,2.0,1.4,2015-09-05,153,Terra,MODIS,28,6.2,,13.9,0.0,N,304.8,292.8,2015,9,5,1,53,2015-09-05 01:53:00,Sep,POINT (-43.424 -9.5891)
6,-9.5751,-43.4326,,2.0,1.4,2015-09-05,153,Terra,MODIS,28,6.2,,14.5,0.0,N,306.4,294.4,2015,9,5,1,53,2015-09-05 01:53:00,Sep,POINT (-43.4326 -9.575100000000001)
7,-9.5875,-43.4299,,2.0,1.4,2015-09-05,153,Terra,MODIS,67,6.2,,25.5,0.0,N,312.0,294.0,2015,9,5,1,53,2015-09-05 01:53:00,Sep,POINT (-43.4299 -9.5875)
8,-9.5768,-43.4264,,2.0,1.4,2015-09-05,153,Terra,MODIS,32,6.2,,14.1,0.0,N,305.8,293.9,2015,9,5,1,53,2015-09-05 01:53:00,Sep,POINT (-43.4264 -9.5768)
9,-9.5859,-43.4298,,3.5,1.8,2015-09-05,1710,Aqua,MODIS,94,6.2,,296.4,0.0,D,350.6,309.1,2015,9,5,17,10,2015-09-05 17:10:00,Sep,POINT (-43.4298 -9.585900000000001)
