index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry,group_id
0,-11.610999999999999,-51.7849,,2.0,1.4,2015-08-08,1646,Aqua,MODIS,100,6.2,,2501.9,0.0,D,465.2,328.1,2015,8,8,16,46,2015-08-08 16:46:00,Aug,POINT (-51.7849 -11.611),027
0,-8.6556,-67.1222,,2.3,1.5,2015-08-23,1742,Aqua,MODIS,94,6.2,,2506.0,0.0,D,452.3,311.4,2015,8,23,17,42,2015-08-23 17:42:00,Aug,POINT (-67.12220000000001 -8.6556),028
0,-7.5939,-44.3007,,1.8,1.3,2015-08-05,1616,Aqua,MODIS,100,6.2,,2521.3,0.0,D,474.4,342.2,2015,8,5,16,16,2015-08-05 16:16:00,Aug,POINT (-44.3007 -7.5939),029
0,-19.4935,-57.5956,,2.8,1.6,2015-08-26,1809,Aqua,MODIS,100,6.2,,2539.4,0.0,D,440.3,315.9,2015,8,26,18,9,2015-08-26 18:09:00,Aug,POINT (-57.5956 -19.4935),030
0,-13.1082,-43.2557,,4.1,1.9,2015-10-19,1556,Aqua,MODIS,100,6.2,,2545.6,0.0,D,413.3,316.8,2015,10,19,15,56,2015-10-19 15:56:00,Oct,POINT (-43.2557 -13.1082),031
0,-9.3267,-60.4055,,1.3,1.1,2015-09-10,1729,Aqua,MODIS,100,6.2,,2548.9,0.0,D,506.4,331.9,2015,9,10,17,29,2015-09-10 17:29:00,Sep,POINT (-60.4055 -9.326700000000001),032
0,-11.7617,-64.9582,,3.1,1.7,2015-09-26,1729,Aqua,MODIS,100,6.2,,2551.0,0.0,D,432.0,290.8,2015,9,26,17,29,2015-09-26 17:29:00,Sep,POINT (-64.95820000000001 -11.7617),033
0,-11.4147,-43.5342,,1.8,1.3,2015-09-06,1615,Aqua,MODIS,100,6.2,,2562.1,0.0,D,474.6,327.8,2015,9,6,16,15,2015-09-06 16:15:00,Sep,POINT (-43.5342 -11.4147),034
0,-10.703,-43.8617,,3.6,1.8,2015-11-12,1355,Terra,MODIS,100,6.2,,2579.5,0.0,D,423.1,309.9,2015,11,12,13,55,2015-11-12 13:55:00,Nov,POINT (-43.8617 -10.703),035
0,-3.6897,-51.9423,,2.0,1.4,2015-11-21,1641,Aqua,MODIS,100,6.2,,2591.7,0.0,D,464.8,302.6,2015,11,21,16,41,2015-11-21 16:41:00,Nov,POINT (-51.9423 -3.6897),036
0,-13.1991,-45.2882,,2.5,1.5,2015-10-21,1255,Terra,MODIS,100,6.2,,2592.4,0.0,D,449.3,318.9,2015,10,21,12,55,2015-10-21 12:55:00,Oct,POINT (-45.2882 -13.1991),037
0,-10.7909,-51.3971,,4.7,2.0,2015-09-17,1307,Terra,MODIS,100,6.2,,2610.5,0.0,D,405.6,309.4,2015,9,17,13,7,2015-09-17 13:07:00,Sep,POINT (-51.3971 -10.7909),038
0,-11.6133,-51.8032,,2.0,1.4,2015-08-08,1646,Aqua,MODIS,100,6.2,,2616.3,0.0,D,467.4,326.6,2015,8,8,16,46,2015-08-08 16:46:00,Aug,POINT (-51.8032 -11.6133),039
0,-9.4998,-43.4242,,4.6,2.0,2015-09-12,1716,Aqua,MODIS,100,6.2,,2626.8,0.0,D,408.1,314.0,2015,9,12,17,16,2015-09-12 17:16:00,Sep,POINT (-43.4242 -9.4998),040
0,-9.7071,-64.1374,,1.4,1.2,2015-09-08,1741,Aqua,MODIS,100,6.2,,2658.0,0.0,D,498.3,318.5,2015,9,8,17,41,2015-09-08 17:41:00,Sep,POINT (-64.1374 -9.707100000000001),041
0,-4.2972,-43.8364,,3.4,1.7,2015-10-03,1558,Aqua,MODIS,100,6.2,,2658.6,0.0,D,427.3,305.9,2015,10,3,15,58,2015-10-03 15:58:00,Oct,POINT (-43.8364 -4.2972),042
0,-19.098,-52.787,,1.7,1.3,2015-08-07,1739,Aqua,MODIS,100,6.2,,2666.5,0.0,D,482.0,340.1,2015,8,7,17,39,2015-08-07 17:39:00,Aug,POINT (-52.787 -19.098),043
0,-11.4081,-43.5419,,1.8,1.3,2015-09-06,1615,Aqua,MODIS,100,6.2,,2668.4,0.0,D,477.2,400.1,2015,9,6,16,15,2015-09-06 16:15:00,Sep,POINT (-43.5419 -11.4081),044
0,-5.8118,-43.3032,,1.4,1.2,2015-10-11,1647,Aqua,MODIS,100,6.2,,2682.0,0.0,D,501.8,400.1,2015,10,11,16,47,2015-10-11 16:47:00,Oct,POINT (-43.3032 -5.8118),045
0,-6.239,-40.9663,,2.1,1.4,2015-10-11,1646,Aqua,MODIS,100,6.2,,2690.3,0.0,D,466.5,327.0,2015,10,11,16,46,2015-10-11 16:46:00,Oct,POINT (-40.9663 -6.239),046
0,-12.3655,-56.5932,,2.0,1.4,2015-09-06,1753,Aqua,MODIS,75,6.2,,2711.7,0.0,D,468.2,307.9,2015,9,6,17,53,2015-09-06 17:53:00,Sep,POINT (-56.5932 -12.3655),047
0,-11.8904,-43.2315,,1.4,1.2,2015-08-28,1621,Aqua,MODIS,100,6.2,,2722.5,0.0,D,506.0,400.1,2015,8,28,16,21,2015-08-28 16:21:00,Aug,POINT (-43.2315 -11.8904),048
0,-10.3592,-44.5023,,2.7,1.6,2015-10-17,1609,Aqua,MODIS,100,6.2,,2745.4,0.0,D,446.1,340.9,2015,10,17,16,9,2015-10-17 16:09:00,Oct,POINT (-44.5023 -10.3592),049
0,-10.318,-44.3581,,4.1,1.9,2015-10-02,1401,Terra,MODIS,100,6.2,,2746.2,0.0,D,416.5,305.5,2015,10,2,14,1,2015-10-02 14:01:00,Oct,POINT (-44.3581 -10.318),050
