FirePoint(frp=28.8, coords=6 17' 17.88'' S 43 42' 53.28'' W, instrument=MODIS)
FirePoint(frp=27.8, coords=6 16' 31.08'' S 43 42' 8.28'' W, instrument=MODIS)
FirePoint(frp=25.9, coords=6 17' 10.68'' S 43 42' 2.52'' W, instrument=MODIS)
FirePoint(frp=8.9, coords=6 16' 46.92'' S 43 41' 51.36'' W, instrument=MODIS)
FirePoint(frp=893.2, coords=6 20' 1.68'' S 43 39' 28.8'' W, instrument=MODIS)
FirePoint(frp=742.6, coords=6 19' 55.2'' S 43 39' 47.88'' W, instrument=MODIS)
FirePoint(frp=162.9, coords=6 20' 8.52'' S 43 38' 3.12'' W, instrument=MODIS)
FirePoint(frp=52.5, coords=6 20' 16.08'' S 43 37' 44.4'' W, instrument=MODIS)
FirePoint(frp=35.1, coords=6 20' 3.12'' S 43 38' 47.4'' W, instrument=MODIS)
FirePoint(frp=486.5, coords=6 20' 9.6'' S 43 39' 30.24'' W, instrument=MODIS)
FirePoint(frp=22.8, coords=6 18' 37.08'' S 43 37' 34.32'' W, instrument=MODIS)
FirePoint(frp=44.6, coords=6 19' 31.44'' S 43 38' 44.52'' W, instrument=MODIS)
FirePoint(frp=245.2, coords=6 19' 22.08'' S 43 39' 44.28'' W, instrument=MODIS)
FirePoint(frp=78.5, coords=6 19' 12.36'' S 43 40' 46.92'' W, instrument=MODIS)
FirePoint(frp=895.1, coords=6 20' 5.28'' S 43 39' 50.4'' W, instrument=MODIS)
FirePoint(frp=811.6, coords=6 19' 55.92'' S 43 40' 51.24'' W, instrument=MODIS)
FirePoint(frp=202.0, coords=6 20' 31.56'' S 43 39' 15.48'' W, instrument=MODIS)
FirePoint(frp=1095.9, coords=6 20' 22.2'' S 43 40' 14.88'' W, instrument=MODIS)
FirePoint(frp=112.0, coords=6 19' 48.36'' S 43 39' 8.28'' W, instrument=MODIS)
FirePoint(frp=153.6, coords=6 19' 38.64'' S 43 40' 9.12'' W, instrument=MODIS)
FirePoint(frp=91.1, coords=6 19' 28.56'' S 43 41' 10.68'' W, instrument=MODIS)
FirePoint(frp=165.9, coords=6 20' 48.48'' S 43 39' 57.24'' W, instrument=MODIS)
FirePoint(frp=74.1, coords=6 20' 14.64'' S 43 38' 51.36'' W, instrument=MODIS)
FirePoint(frp=25.9, coords=6 21' 29.16'' S 43 42' 30.96'' W, instrument=MODIS)
FirePoint(frp=267.3, coords=6 20' 12.12'' S 43 41' 15.72'' W, instrument=MODIS)
FirePoint(frp=218.7, coords=6 20' 51'' S 43 44' 22.56'' W, instrument=MODIS)
FirePoint(frp=5830.2, coords=6 20' 27.96'' S 43 41' 19.68'' W, instrument=MODIS)
FirePoint(frp=763.2, coords=6 20' 47.4'' S 43 43' 56.28'' W, instrument=MODIS)
FirePoint(frp=5496.6, coords=6 20' 30.48'' S 43 41' 45.96'' W, instrument=MODIS)
FirePoint(frp=1209.9, coords=6 19' 26.76'' S 43 41' 57.12'' W, instrument=MODIS)
FirePoint(frp=710.0, coords=6 19' 6.96'' S 43 39' 23.76'' W, instrument=MODIS)
FirePoint(frp=1279.5, coords=6 20' 11.04'' S 43 39' 16.92'' W, instrument=MODIS)
FirePoint(frp=289.2, coords=6 21' 15.12'' S 43 39' 9.72'' W, instrument=MODIS)
FirePoint(frp=1461.0, coords=6 19' 24.24'' S 43 41' 31.56'' W, instrument=MODIS)
FirePoint(frp=385.0, coords=6 19' 5.52'' S 43 38' 59.28'' W, instrument=MODIS)
FirePoint(frp=515.1, coords=6 20' 9.6'' S 43 38' 51.36'' W, instrument=MODIS)
FirePoint(frp=1022.1, coords=6 21' 32.04'' S 43 41' 12.48'' W, instrument=MODIS)
FirePoint(frp=81.5, coords=6 21' 13.68'' S 43 38' 44.52'' W, instrument=MODIS)
FirePoint(frp=864.4, coords=6 21' 34.92'' S 43 41' 39.12'' W, instrument=MODIS)
FirePoint(frp=68.2, coords=6 21' 4.68'' S 43 41' 25.8'' W, instrument=MODIS)
FirePoint(frp=37.1, coords=6 20' 29.04'' S 43 41' 30.84'' W, instrument=MODIS)
FirePoint(frp=62.4, coords=6 21' 10.08'' S 43 42' 5.76'' W, instrument=MODIS)
FirePoint(frp=24.4, coords=6 19' 6.96'' S 43 40' 22.08'' W, instrument=MODIS)
FirePoint(frp=13.6, coords=6 20' 12.48'' S 43 39' 32.4'' W, instrument=MODIS)
FirePoint(frp=18.9, coords=6 19' 57.72'' S 43 39' 36.36'' W, instrument=MODIS)
FirePoint(frp=24.9, coords=6 20' 3.12'' S 43 40' 36.12'' W, instrument=MODIS)
FirePoint(frp=23.9, coords=6 20' 8.88'' S 43 39' 58.32'' W, instrument=MODIS)
FirePoint(frp=11.0, coords=6 20' 14.64'' S 43 39' 21.24'' W, instrument=MODIS)
FirePoint(frp=28.2, coords=6 20' 38.04'' S 43 40' 41.16'' W, instrument=MODIS)
FirePoint(frp=5.5, coords=6 20' 43.8'' S 43 40' 3.72'' W, instrument=MODIS)
FirePoint(frp=17.7, coords=6 19' 51.96'' S 43 40' 13.8'' W, instrument=MODIS)
FirePoint(frp=15.4, coords=6 20' 26.16'' S 43 41' 57.12'' W, instrument=MODIS)
FirePoint(frp=24.5, coords=6 19' 57.36'' S 43 41' 13.92'' W, instrument=MODIS)
FirePoint(frp=58.1, coords=6 20' 31.92'' S 43 41' 18.96'' W, instrument=MODIS)
FirePoint(frp=54.7, coords=6 21' 1.08'' S 43 42' 2.16'' W, instrument=MODIS)
FirePoint(frp=56.9, coords=6 21' 6.84'' S 43 41' 24.36'' W, instrument=MODIS)
FirePoint(frp=55.9, coords=6 21' 20.88'' S 43 42' 48.96'' W, instrument=MODIS)
FirePoint(frp=226.4, coords=6 21' 28.44'' S 43 41' 51.72'' W, instrument=MODIS)
FirePoint(frp=409.7, coords=6 20' 56.4'' S 43 42' 22.68'' W, instrument=MODIS)
FirePoint(frp=275.6, coords=6 21' 4.68'' S 43 41' 25.08'' W, instrument=MODIS)
FirePoint(frp=317.4, coords=6 20' 46.32'' S 43 41' 45.96'' W, instrument=MODIS)
FirePoint(frp=65.4, coords=6 20' 38.4'' S 43 42' 43.56'' W, instrument=MODIS)
FirePoint(frp=59.3, coords=6 20' 52.8'' S 43 42' 1.44'' W, instrument=MODIS)
FirePoint(frp=68.9, coords=6 19' 1.92'' S 43 41' 2.4'' W, instrument=MODIS)
FirePoint(frp=21.0, coords=6 18' 57.24'' S 43 40' 30'' W, instrument=MODIS)
FirePoint(frp=23.5, coords=6 19' 24.96'' S 43 39' 52.92'' W, instrument=MODIS)
FirePoint(frp=67.1, coords=6 20' 6.36'' S 43 40' 28.92'' W, instrument=MODIS)
FirePoint(frp=37.2, coords=6 20' 1.68'' S 43 39' 56.52'' W, instrument=MODIS)
FirePoint(frp=43.6, coords=6 19' 57'' S 43 39' 24.12'' W, instrument=MODIS)
FirePoint(frp=54.5, coords=6 20' 29.4'' S 43 39' 19.44'' W, instrument=MODIS)
FirePoint(frp=25.7, coords=6 21' 29.52'' S 43 42' 28.8'' W, instrument=MODIS)
FirePoint(frp=89.3, coords=6 21' 24.84'' S 43 41' 56.4'' W, instrument=MODIS)
FirePoint(frp=76.1, coords=6 19' 6.6'' S 43 41' 34.8'' W, instrument=MODIS)
FirePoint(frp=284.0, coords=6 19' 10.92'' S 43 42' 7.2'' W, instrument=MODIS)
FirePoint(frp=527.9, coords=6 18' 38.88'' S 43 42' 11.88'' W, instrument=MODIS)
FirePoint(frp=301.9, coords=6 18' 34.2'' S 43 41' 39.48'' W, instrument=MODIS)
FirePoint(frp=19.5, coords=6 19' 23.52'' S 43 42' 45.72'' W, instrument=MODIS)
FirePoint(frp=35.1, coords=6 18' 30.96'' S 43 42' 51.12'' W, instrument=MODIS)
FirePoint(frp=22.5, coords=6 18' 47.16'' S 43 42' 8.28'' W, instrument=MODIS)
FirePoint(frp=46.4, coords=6 18' 38.16'' S 43 41' 22.56'' W, instrument=MODIS)
FirePoint(frp=223.1, coords=6 19' 15.6'' S 43 43' 18.48'' W, instrument=MODIS)
FirePoint(frp=214.5, coords=6 19' 33.6'' S 43 41' 29.4'' W, instrument=MODIS)
FirePoint(frp=42.3, coords=6 19' 26.4'' S 43 42' 47.52'' W, instrument=MODIS)
FirePoint(frp=14.8, coords=6 19' 17.4'' S 43 41' 42'' W, instrument=MODIS)
FirePoint(frp=51.3, coords=6 19' 32.52'' S 43 42' 26.28'' W, instrument=MODIS)
FirePoint(frp=13.1, coords=6 19' 28.56'' S 43 42' 5.4'' W, instrument=MODIS)
FirePoint(frp=18.2, coords=6 21' 5.04'' S 43 41' 17.16'' W, instrument=MODIS)
FirePoint(frp=35.4, coords=6 19' 26.4'' S 43 42' 42.12'' W, instrument=MODIS)
FirePoint(frp=51.9, coords=6 21' 52.2'' S 43 36' 57.6'' W, instrument=MODIS)
FirePoint(frp=17.5, coords=6 25' 17.76'' S 43 40' 58.44'' W, instrument=MODIS)
FirePoint(frp=19.4, coords=6 25' 50.16'' S 43 41' 3.48'' W, instrument=MODIS)
FirePoint(frp=4.9, coords=6 17' 17.16'' S 43 41' 56.04'' W, instrument=MODIS)
FirePoint(frp=27.8, coords=6 21' 13.68'' S 43 36' 40.32'' W, instrument=MODIS)
FirePoint(frp=31.3, coords=6 18' 8.64'' S 43 40' 0.84'' W, instrument=MODIS)
FirePoint(frp=65.4, coords=6 18' 45.36'' S 43 40' 20.28'' W, instrument=MODIS)
FirePoint(frp=99.2, coords=6 22' 9.48'' S 43 42' 6.48'' W, instrument=MODIS)
FirePoint(frp=25.9, coords=6 22' 31.08'' S 43 42' 34.2'' W, instrument=MODIS)
FirePoint(frp=13.0, coords=6 16' 40.44'' S 43 43' 20.64'' W, instrument=MODIS)

Top point: FirePoint(frp=5901.7, coords=10 50' 29.04'' S 54 1' 40.44'' W, instrument=MODIS)
