frp,latitude,longitude,instrument,is_top_point
34.7,-9.18753,-65.40859,VIIRS,False
11.1,-9.20001,-65.41145,VIIRS,False
33.2,-9.19103,-65.41184,VIIRS,False
7.7,-9.18188,-65.40833,VIIRS,False
3.9,-9.1856,-65.40889,VIIRS,False
4.1,-9.20045,-65.41114,VIIRS,False
2.9,-9.19674,-65.41056,VIIRS,False
2.9,-9.193019999999999,-65.41001,VIIRS,False
3.9,-9.18495,-65.41332,VIIRS,False
2.9,-9.19237,-65.41445,VIIRS,False
2.9,-9.19609,-65.41501,VIIRS,False
3.9,-9.18866,-65.41389000000001,VIIRS,False
3.0,-9.18431,-65.41776999999999,VIIRS,False
7.7,-9.17817,-65.40777,VIIRS,False
7.7,-9.17753,-65.4122,VIIRS,False
7.7,-9.181239999999999,-65.41277,VIIRS,False
3.9,-9.18931,-65.40945,VIIRS,False
8.2,-9.1809,-65.41190999999999,VIIRS,False
4.8,-9.17675,-65.41277,VIIRS,False
23.9,-9.191980000000001,-65.40996,VIIRS,False
23.9,-9.19266,-65.41365,VIIRS,False
12.1,-9.1982,-65.41268000000001,VIIRS,False
23.9,-9.18713,-65.41463,VIIRS,False
23.9,-9.18644,-65.41094,VIIRS,False
8.2,-9.198889999999999,-65.4164,VIIRS,False
12.1,-9.20306,-65.40804,VIIRS,False
3.2,-9.20861,-65.40708000000001,VIIRS,False
8.2,-9.18159,-65.4156,VIIRS,False
4.2,-9.21663,-65.4127,VIIRS,False
4.5,-9.20262,-65.41411,VIIRS,False
1.9,-9.1959,-65.41301999999999,VIIRS,False
1.3,-9.19254,-65.41248,VIIRS,False
4.9,-9.19196,-65.41605,VIIRS,False
1.6,-9.17459,-65.41691,VIIRS,False
1.2,-9.18525,-65.41496,VIIRS,False
1.2,-9.18467,-65.41855,VIIRS,False
0.9,-9.18582,-65.41138000000001,VIIRS,False
4.9,-9.18861,-65.41551,VIIRS,False
1.2,-9.18189,-65.41441,VIIRS,False
0.9,-9.1791,-65.41029,VIIRS,False
4.5,-9.20598,-65.41465,VIIRS,False
4.5,-9.20655,-65.41108,VIIRS,False
1.9,-9.19926,-65.41356999999999,VIIRS,False
3.9,-9.195319999999999,-65.4166,VIIRS,False
1.4,-9.25485,-65.36747,VIIRS,False
4.5,-9.21327,-65.41216,VIIRS,False
4.5,-9.20991,-65.41161,VIIRS,False
1.6,-9.17795,-65.41745999999999,VIIRS,False
1.6,-9.17853,-65.41386999999999,VIIRS,False
1.3,-9.18918,-65.41193,VIIRS,False
4.5,-9.20319,-65.41053000000001,VIIRS,False
4.9,-9.18803,-65.41909,VIIRS,False
1.6,-9.17517,-65.41332,VIIRS,False
2.1,-9.17609,-65.4159,VIIRS,False
1.3,-9.184619999999999,-65.4174,VIIRS,False
3.9,-9.188189999999999,-65.42213000000001,VIIRS,False
1.6,-9.19383,-65.41490999999999,VIIRS,False
2.0,-9.2073,-65.41311,VIIRS,False
3.1,-9.220089999999999,-65.41529,VIIRS,False
3.1,-9.22077,-65.41129000000001,VIIRS,False
1.5,-9.22311,-65.44901999999999,VIIRS,False
2.1,-9.18035,-65.41666,VIIRS,False
1.6,-9.19314,-65.4189,VIIRS,False
3.1,-9.22503,-65.41206,VIIRS,False
2.0,-9.206610000000001,-65.4171,VIIRS,False
4.5,-9.21156,-65.41383,VIIRS,False
7.2,-9.17966,-65.42066,VIIRS,False
1.3,-9.188880000000001,-65.41814000000001,VIIRS,False
1.6,-9.1974,-65.41964,VIIRS,False
3.9,-9.18392,-65.42139,VIIRS,False
7.2,-9.17539,-65.41994,VIIRS,False
1.6,-9.198089999999999,-65.41564,VIIRS,False
2.0,-9.20167,-65.42036,VIIRS,False
2.0,-9.20235,-65.41637,VIIRS,False
2.0,-9.20304,-65.41239,VIIRS,False
0.8,-9.19245,-65.42286999999999,VIIRS,False
8.2,-9.18773,-65.41619,VIIRS,False
53.4,-9.18495,-65.4202,VIIRS,False
84.0,-9.19213,-65.42268,VIIRS,False
15.1,-9.19438,-65.41516999999999,VIIRS,False
11.0,-9.1977,-65.41466,VIIRS,False
11.0,-9.201030000000001,-65.41415,VIIRS,False
2.9,-9.20435,-65.41364,VIIRS,False
2.9,-9.20767,-65.41311999999999,VIIRS,False
17.1,-9.21764,-65.4116,VIIRS,False
84.0,-9.19545,-65.42217,VIIRS,False
17.1,-9.22096,-65.41109,VIIRS,False
45.7,-9.174439999999999,-65.41823000000001,VIIRS,False
33.1,-9.1783,-65.42121999999999,VIIRS,False
33.1,-9.18162,-65.42071999999999,VIIRS,False
6.6,-9.18109,-65.41721,VIIRS,False
