frp,day,time,latitude,longitude,instrument,is_top_point,group_id
34.9,2015-09-09,17:31:00,-10.275789999999999,-64.59715,VIIRS,False,4221298
6.7,2015-09-09,17:31:00,-10.277339999999999,-64.57772,VIIRS,False,4221298
7.5,2015-09-09,17:31:00,-10.28622,-64.61117,VIIRS,False,4221298
8.2,2015-09-09,17:31:00,-10.28255,-64.5847,VIIRS,False,4221298
41.0,2015-09-09,17:31:00,-10.28463,-64.59976,VIIRS,False,4221298
8.2,2015-09-09,17:31:00,-10.2867,-64.58412,VIIRS,False,4221298
654.9,2015-09-09,17:31:00,-10.29192,-64.59115,VIIRS,False,4221298
22.4,2015-09-09,17:31:00,-10.28761,-64.57656999999999,VIIRS,False,4221298
45.4,2015-09-09,17:31:00,-10.272680000000001,-64.66724,VIIRS,False,4221298
1.3,2015-09-10,06:17:00,-10.28023,-64.59859,VIIRS,False,4221298
1.0,2015-09-10,06:17:00,-10.278960000000001,-64.65229000000001,VIIRS,False,4221298
1.1,2015-09-10,06:17:00,-10.27717,-64.66646999999999,VIIRS,False,4221298
1.0,2015-09-10,06:17:00,-10.27851,-64.65584,VIIRS,False,4221298
1.3,2015-09-10,06:17:00,-10.28613,-64.59578,VIIRS,False,4221298
1.1,2015-09-10,06:17:00,-10.27672,-64.66998000000001,VIIRS,False,4221298
1.3,2015-09-10,06:17:00,-10.285680000000001,-64.59931,VIIRS,False,4221298
1.2,2015-09-10,06:17:00,-10.28704,-64.58858000000001,VIIRS,False,4221298
2.2,2015-09-10,06:17:00,-10.3016,-64.56142,VIIRS,False,4221298
1.6,2015-09-10,06:17:00,-10.27628,-64.67345999999999,VIIRS,False,4221298
1.7,2015-09-10,06:17:00,-10.27524,-64.59418000000001,VIIRS,False,4221298
1.3,2015-09-10,06:17:00,-10.28068,-64.59501,VIIRS,False,4221298
1.2,2015-09-10,06:17:00,-10.281139999999999,-64.5914,VIIRS,False,4221298
2.0,2015-09-10,06:17:00,-10.27942,-64.64874,VIIRS,False,4221298
1.2,2015-09-10,06:17:00,-10.28658,-64.59219,VIIRS,False,4221298
1.6,2015-09-10,06:17:00,-10.29205,-64.5928,VIIRS,False,4221298
1.6,2015-09-10,06:17:00,-10.29251,-64.5892,VIIRS,False,4221298
1.6,2015-09-10,06:17:00,-10.29798,-64.58984,VIIRS,False,4221298
2.1,2015-09-10,06:17:00,-10.30706,-64.56215999999999,VIIRS,False,4221298
3.2,2015-09-10,17:12:00,-10.33504,-64.58941999999999,VIIRS,False,4221298
3.2,2015-09-10,17:12:00,-10.32928,-64.59004,VIIRS,False,4221298
5.1,2015-09-10,17:12:00,-10.32305,-64.58683,VIIRS,False,4221298
5.5,2015-09-10,17:12:00,-10.31387,-64.55986,VIIRS,False,4221298
5.6,2015-09-10,17:12:00,-10.277999999999999,-64.60013000000001,VIIRS,False,4221298
6.7,2015-09-10,17:12:00,-10.27705,-64.59226,VIIRS,False,4221298
3.4,2015-09-10,17:12:00,-10.28327,-64.59541,VIIRS,False,4221298
3.4,2015-09-10,17:12:00,-10.282789999999999,-64.59151,VIIRS,False,4221298
6.7,2015-09-10,17:12:00,-10.277519999999999,-64.59616,VIIRS,False,4221298
