latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,year,month,month_name
-11.34089,-46.023740000000004,367.0,0.61,0.71,2012-06-12,1544,N,VIIRS,h,1,290.5,354.3,0.0,,2012,6,Jun
-11.31971,-46.01372,208.0,0.61,0.71,2012-06-12,1544,N,VIIRS,l,1,305.4,282.0,0.0,,2012,6,Jun
-11.33423,-46.008559999999996,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,309.6,414.0,0.0,,2012,6,Jun
-11.33491,-46.0144,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,331.8,395.6,0.0,,2012,6,Jun
-11.33356,-46.00285,348.2,0.61,0.71,2012-06-12,1545,N,VIIRS,n,1,305.1,414.0,0.0,,2012,6,Jun
-11.33562,-46.0205,208.0,0.61,0.71,2012-06-12,1545,N,VIIRS,l,1,301.4,395.6,0.0,,2012,6,Jun
-11.32696,-46.00359,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,317.2,414.0,0.0,,2012,6,Jun
-11.328289999999999,-46.015029999999996,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,364.9,395.6,0.0,,2012,6,Jun
-11.32762,-46.00928,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,l,1,380.0,414.0,0.0,,2012,6,Jun
-11.32897,-46.02087,208.0,0.61,0.71,2012-06-12,1545,N,VIIRS,l,1,303.8,395.6,0.0,,2012,6,Jun
-11.32035,-46.004329999999996,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,314.3,528.7,0.0,,2012,6,Jun
-11.321010000000001,-46.01003,367.0,0.61,0.71,2012-06-12,1545,N,VIIRS,h,1,369.0,528.7,0.0,,2012,6,Jun
-9.19963,-45.32972,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,h,1,352.9,320.3,0.0,,2012,6,Jun
-9.20016,-45.33321,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,h,1,362.1,320.3,0.0,,2012,6,Jun
-9.1991,-45.32622,351.7,0.38,0.36,2012-06-15,1629,N,VIIRS,n,1,314.4,365.6,0.0,,2012,6,Jun
-9.2019,-45.32222,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,h,1,372.7,365.6,0.0,,2012,6,Jun
-9.20348,-45.33271,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,h,1,373.2,320.3,0.0,,2012,6,Jun
-9.20242,-45.32571,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,l,1,380.0,365.6,0.0,,2012,6,Jun
-9.20295,-45.329209999999996,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,l,1,380.0,320.3,0.0,,2012,6,Jun
-9.19858,-45.322720000000004,367.0,0.38,0.36,2012-06-15,1629,N,VIIRS,h,1,350.7,365.6,0.0,,2012,6,Jun
-11.30569,-45.955040000000004,367.0,0.37,0.58,2012-06-22,1557,N,VIIRS,h,1,348.4,343.3,0.0,,2012,6,Jun
-11.30613,-45.95848,367.0,0.37,0.58,2012-06-22,1557,N,VIIRS,l,1,380.0,343.3,0.0,,2012,6,Jun
-11.3003,-45.95572,347.7,0.37,0.58,2012-06-22,1557,N,VIIRS,n,1,315.5,343.3,0.0,,2012,6,Jun
-12.16119,-44.31816,367.0,0.59,0.53,2012-06-24,1659,N,VIIRS,l,1,328.5,288.6,0.0,,2012,6,Jun
-7.287710000000001,-43.784279999999995,350.5,0.57,0.43,2012-06-25,1642,N,VIIRS,n,1,302.3,335.5,0.0,,2012,6,Jun
-7.2917,-43.7836,367.0,0.57,0.43,2012-06-25,1642,N,VIIRS,h,1,375.2,335.5,0.0,,2012,6,Jun
-12.791260000000001,-54.22076,331.9,0.52,0.42,2012-06-28,1725,N,VIIRS,n,1,299.7,365.4,0.0,,2012,6,Jun
-12.792869999999999,-54.230380000000004,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,h,1,357.7,476.1,0.0,,2012,6,Jun
-12.792069999999999,-54.22557,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,h,1,344.8,365.4,0.0,,2012,6,Jun
-12.7967,-54.22971999999999,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,l,1,380.0,476.1,0.0,,2012,6,Jun
-12.801919999999999,-54.21383,367.0,0.52,0.42,2012-06-28,1725,N,VIIRS,h,1,361.0,865.7,0.0,,2012,6,Jun
